INDEX:198:<ulong>,amplitude:198:<double>,average:198:<double>,change_percentage:198:<double>,close_price:198:<double>,divergence_h_highest:198:<double>,divergence_h_lowest:198:<double>,highest_price:198:<double>,lowest_price:198:<double>,ma10:198:<double>,ma20:198:<double>,ma3:198:<double>,ma30:198:<double>,ma5:198:<double>,ma60:198:<double>,name:198:<string>,nonrest_float_amount:198:<double>,open_price:198:<double>,ticker:198:<string>,trade_date:198:<string>,tradestatus:198:<double>,turnover_amount:198:<double>,turnover_rate:198:<double>,turnover_vol:198:<double>,turnover_vol_ratio:198:<double>
128,5.9,83.17,-1.09,81.5,3,4,85.66,80.8,82.51,83.34,81.97,82.07,82.93,80.22,,0,83.66,300861,2021-11-15,1,216987217.36,1.49,260891100,1.38
129,4.63,79.66,-3.08,78.99,1,24,82.33,78.56,81.99,83.13,80.96,81.99,81.79,80.33,,0,81,300861,2021-11-16,1,163183309.3,1.17,204855000,0.95
130,3.27,79.43,1.27,79.99,1,25,80.38,77.8,81.84,82.93,80.16,82.1,80.98,80.47,,0,79.49,300861,2021-11-17,1,106693410.79,0.77,134323900,0.75
131,5.15,79.88,1.89,81.5,2,26,81.5,77.38,81.7,82.83,80.16,82.21,80.88,80.66,,0,79.63,300861,2021-11-18,1,207728975.97,1.48,260043100,1.54
132,3.85,81.05,0.14,81.61,4,1,82.66,79.52,81.64,82.79,81.03,82.36,80.72,80.9,,0,81.2,300861,2021-11-19,1,122952939.98,0.86,151692600,0.77
133,5.16,84.19,4.14,84.99,9,1,86,81.79,82.17,82.8,82.7,82.63,81.42,81.17,,0,82,300861,2021-11-22,1,304849339.15,2.06,362097000,1.79
134,4,85.15,-1.64,83.6,10,1,87,83.6,82.07,82.68,83.4,82.88,82.34,81.46,,0,84.75,300861,2021-11-23,1,183250928.06,1.23,215204100,0.97
135,2.87,83.29,-0.57,83.12,1,2,84.78,82.38,81.97,82.53,83.9,82.96,82.96,81.73,,0,84.78,300861,2021-11-24,1,118087845.12,0.81,141775900,0.63
136,5.52,83.44,-1.91,81.53,2,4,85.58,80.99,81.92,82.45,82.75,82.94,82.97,81.89,,0,84.78,300861,2021-11-25,1,197292896.29,1.35,236442400,1.05
137,4.28,79.14,-3.07,79.03,1,6,81.19,77.7,81.59,82.25,81.23,82.85,82.45,81.98,,0,81.19,300861,2021-11-26,1,241001802.76,1.73,304517200,1.38
138,3.05,77.98,-1.1,78.16,1,7,79.91,77.5,81.25,81.88,79.57,82.65,81.09,82.04,,0,78.66,300861,2021-11-29,1,172377067.2,1.26,221045100,0.88
139,3.93,78.39,0.18,78.3,2,34,80.29,77.22,81.18,81.59,78.5,82.48,80.03,81.9,,0,78.9,300861,2021-11-30,1,231431117.01,1.68,295230000,1.32
140,2.87,78.24,0,78.3,1,1,79.65,77.4,81.01,81.43,78.25,82.29,79.06,81.75,,0,77.65,300861,2021-12-01,1,113280717.17,0.82,144785200,0.6
141,4.09,76.22,-2.94,76,1,38,78.3,75.1,80.46,81.08,77.53,82.04,77.96,81.54,,0,78.18,300861,2021-12-02,1,152146646.24,1.14,199622400,0.83
142,2.01,76.38,0.91,76.69,1,1,76.95,75.42,79.97,80.81,77,81.85,77.49,81.36,,0,76.17,300861,2021-12-03,1,95874979.41,0.72,125519400,0.54
143,4.94,74.92,-3.51,74,2,65,77.5,73.71,78.87,80.52,75.56,81.49,76.66,81.17,,0,76.8,300861,2021-12-06,1,161225390.34,1.23,215196000,1.09
